31144,1,5.926,0.940,Pedestrian
31145,0,19.955,0.977,Pedestrian
31145,1,5.958,0.933,Pedestrian
31146,0,19.937,0.983,Pedestrian
31146,1,5.929,0.949,Pedestrian
31147,0,19.945,0.981,Pedestrian
31147,1,5.929,0.942,Pedestrian
31148,0,19.930,0.973,Pedestrian
31148,1,5.956,0.938,Pedestrian
31149,0,19.944,0.968,Pedestrian
31149,1,5.934,0.934,Pedestrian
31150,0,5.945,0.973,Pedestrian
31150,1,19.995,0.888,Pedestrian
31151,0,5.900,0.935,Pedestrian
31151,1,19.991,0.923,Pedestrian
31152,0,20.020,0.986,Pedestrian
31152,1,5.943,0.946,Pedestrian
31153,0,20.038,0.960,Pedestrian
31153,1,5.916,0.899,Pedestrian
31154,0,5.918,0.945,Pedestrian
31154,1,20.037,0.864,Pedestrian
31155,0,5.925,0.942,Pedestrian
31155,1,20.014,0.799,Pedestrian
31156,0,5.936,0.948,Pedestrian
31156,1,20.017,0.844,Pedestrian
31157,0,5.919,0.903,Pedestrian
31157,1,19.998,0.827,Pedestrian
31158,0,5.927,0.895,Pedestrian
31159,0,5.942,0.933,Pedestrian
31159,1,19.974,0.907,Pedestrian
31160,0,5.964,0.923,Pedestrian
31160,1,19.982,0.855,Pedestrian
31161,0,19.973,0.944,Pedestrian
31161,1,5.945,0.914,Pedestrian
31162,0,5.945,0.945,Pedestrian
31162,1,19.982,0.916,Pedestrian
31163,0,5.960,0.974,Pedestrian
31163,1,19.969,0.901,Pedestrian
31164,0,5.985,0.949,Pedestrian
31164,1,19.960,0.822,Pedestrian
31165,0,5.964,0.816,Pedestrian
31165,1,19.943,0.704,Pedestrian
31166,0,19.958,0.901,Pedestrian
31166,1,5.930,0.852,Pedestrian
31167,0,5.942,0.961,Pedestrian
31168,0,5.924,0.849,Pedestrian
31168,1,19.929,0.769,Pedestrian
31169,0,5.958,0.970,Pedestrian
31169,1,19.958,0.895,Pedestrian
31170,0,5.925,0.937,Pedestrian
31170,1,19.946,0.920,Pedestrian
31171,0,5.911,0.917,Pedestrian
31171,1,19.927,0.901,Pedestrian
31172,0,19.961,0.914,Pedestrian
31172,1,5.915,0.904,Pedestrian
31173,0,19.948,0.988,Pedestrian
31173,1,5.940,0.881,Pedestrian
31174,0,19.958,0.972,Pedestrian
31174,1,5.959,0.788,Pedestrian
31175,0,20.012,0.984,Pedestrian
31175,1,5.944,0.841,Pedestrian
31176,0,19.992,0.958,Pedestrian
31177,0,20.003,0.902,Pedestrian
31177,1,5.944,0.808,Pedestrian
31178,0,19.989,0.962,Pedestrian
31179,0,20.000,0.915,Pedestrian
31179,1,5.910,0.754,Pedestrian
31180,0,19.977,0.937,Pedestrian
31181,0,20.030,0.918,Pedestrian
31182,0,19.998,0.968,Pedestrian
31183,0,20.018,0.965,Pedestrian
31184,0,20.020,0.971,Pedestrian
31185,0,20.043,0.981,Pedestrian
31186,0,20.026,0.873,Pedestrian
